idx,tax1,tax2,tax3,company,address,city,lat,lng,website
259,Oil and Gas,Mobility as a Service,,Feece Oil Co.,"3031 Eldamain Rd, Plano, IL 60545",Plano,41.673899,-88.488911,https://www.feeceoilfuel.com/
260,Academia/Research,Accelerator/Incubator,,Fermi National Accelerator Laboratory,"1358 Pine St, Batavia, IL 60510",Batavia,41.840393,-88.279856,http://www.fnal.gov/
261,Finance,Marketing,,First Analysis Corporation,"1 S Wacker Dr Suite 3900, Chicago, IL 60606
",Chicago,41.88152,-87.635987,https://www.firstanalysis.com/Home.aspx
262,Wave/Water/Hydro,,,Flagg Creek Water Reclamation District,"7001 N Frontage Rd, Burr Ridge, IL 60527",Burr Ridge,41.762376,-87.905997,https://flaggcreekwrd.org/
263,Enabling Technologies/Components,Professional Services,,Flolo Corporation,"1400 Harvester Rd, West Chicago, IL 60185",West Chicago,41.901723,-88.230121,http://www.flolo.com/
264,Circular Economy,,,Flood Brothers Disposal,"17W609 14th St, Oakbrook Terrace, IL 60181",Oakbrook Terrace,41.856604,-87.974678,https://www.floodbrothersdisposal.com/
265,Circular Economy,Evaluation/Compliance,,"Fluorecycle, Inc.","27780 W Concrete Dr, Ingleside, IL 60041",Ingleside,42.335663,-88.174693,http://www.fluorecycle.com/
266,Consulting,Professional Services,,Foresight Design Initiative,"4619 N Ravenswood Ave Suite 305, Chicago, IL 60640",Chicago,41.965955,-87.673595,https://www.foresightdesign.org/
267,Wave/Water/Hydro,Engineering,,Fox Metro Water Reclamation District,"682 State Rte 31, Oswego, IL 60543",Oswego,41.716534,-88.352542,https://www.foxmetro.org/
268,Wave/Water/Hydro,,,Fox River Water Reclamation District,"1957 N LaFox, South Elgin, IL 60177",South Elgin,42.011911,-88.284325,https://www.frwrd.com/
269,Utility/Grid,Energy Efficiency,Professional Services,Franklin Energy,"5450 N Cumberland Ave Suite 125, Chicago, IL 60656",Chicago,41.978868,-87.837412,https://www.franklinenergy.com/
270,Law,Policy,,Freeborn & Peters LLP,"311 S Wacker Dr Suite 3000, Chicago, IL 60606",Chicago,41.877439,-87.635642,https://www.freeborn.com/
271,Environmental Remediation,,,Friends of the Chicago River,"411 S Wells St Suite 800, Chicago, IL 60607",Chicago,41.876389,-87.633404,https://www.chicagoriver.org/
272,Environmental Remediation,,,Friends of the Forest Preserves,"411 S Wells St Suite 300, Chicago, IL 60607",Chicago,41.876389,-87.633404,http://www.fotfp.org/
273,Consulting,Utility/Grid,Engineering,G&W Electric,"245 W Crossroads Pkwy, Bolingbrook, IL 60440",Bolingbrook,41.674122,-88.069956,https://www.gwelectric.com/
274,Circular Economy,Professional Services,,G2 Revolution,"8585 Pyott Rd, Lake in the Hills, IL 60156",Lake in the Hills,42.204586,-88.316286,https://www.g2rev.com/#1
275,Environmental Remediation,Consulting,Professional Services,Gabriel Environmental Services,"1421 N Elston Ave, Chicago, IL 60642",Chicago,41.907861,-87.66,https://gabrielenvironmental.com/
276,Finance,,,Gaebler Ventures,"301 Forest Ave, River Forest, IL 60305",River Forest,41.884762,-87.821028,http://www.gaebler.com/
277,Wind,Manufacturing,,Gaelectric North America Inc.,"200 S Wacker Dr Suite 3100, Chicago, IL 60606",Chicago,41.878949,-87.637268,http://www.gaelectric.ie/
278,Circular Economy,Environmental Remediation,,Gaia Movement USA,"8918 S Green St, Chicago, IL 60620",Chicago,41.731893,-87.64514,https://www.gaia-movement-usa.org/
279,Wave/Water/Hydro,Engineering,Chemistry,Garratt-Callahan Company,"340 S La Londe Ave, Addison, IL 60101",Addison,41.920782,-88.007639,https://garrattcallahan.com/
280,Oil and Gas,Construction,Finance,Gas Depot Oil Corporation,"8930 Waukegan Rd Suite 230, Morton Grove, IL, 60053",Morton Grove,42.043649,-87.799634,http://www.gasdepot.com/
281,Consulting,Oil and Gas,Energy Systems/Management,Gas Operations Innovation Alliance,"203 N Lasalle St Suite 2100, Chicago, IL, 60601",Chicago,41.886154,-87.631501,https://gasopsalliance.com/
282,Finance,Consulting,Marketing,GE Ventures,"500 W Monroe St, Chicago, IL 60661",Chicago,41.880836,-87.64008,https://www.ge.com/ventures/portfolio
283,Biofuels,Manufacturing,,General Biomass Company,"2906 Central St Suite 134, Evanston, IL 60201 ",Evanston,42.064281,-87.714914,http://www.generalbiomass.com/
284,Utility/Grid,Manufacturing,Enabling Technologies/Components,General Electric,"709 W Wall St, Morrison, IL",Morrison,41.81096,-89.978112,https://www.ge.com/
285,Thermal Energy ,Energy Systems/Management,Energy Efficiency,GeoThermal Energy Solutions,"3000 Dundee Rd, Northbrook, 60062",Northbrook,42.139026,-87.854525,https://www.geotsolutions.com/home/
286,Wind,Professional Services,,Geronimo Energy,"7650 Edinborough Way Suite 725 , Edina, MN, 55435",Edina,41.955303,-87.679902,https://geronimoenergy.com/
287,Enabling Technologies/Components,Energy Systems/Management,Materials,Ghalib Enterprises Inc.,"5875 N Lincoln Ave Ste 104, Chicago, IL 60659",Chicago,41.988426,-87.703584,http://www.ghalibusa.com/
288,Finance,Professional Services,Finance,GI Energy,"150 N Michigan Ave Ste 1250, Chicago, IL 60601",Chicago,41.884782,-87.624961,https://gienergyus.com/
289,Storage,Wind,Solar,GlidePath,"132 N York St, Elmhurst, IL 60126",Elmhurst,41.900955,-87.940249,https://glidepath.net/
290,Utility/Grid,Oil and Gas,Energy Systems/Management,Global Energy,"150 N Michigan Ave Suite 2800, Chicago, IL 60601",Chicago,41.884782,-87.624961,https://www.globalenergy.net/
291,Consulting,,,Goby Inc.,"33 N LaSalle St Suite 500, Chicago, IL 60602",Chicago,41.88286,-87.632155,https://www.gobyinc.com/
292,Wind,Manufacturing,Professional Services,Goldwind Americas,"20 N Wacker Dr, Chicago, IL, 60606",Chicago,41.882608,-87.637261,https://www.goldwindamericas.com/
293,Environmental Remediation,Construction,Professional Services,"Grand Slam Construction, LLC","3805 Illinois Ave, ​St. Charles, IL 60174",​St. Charles,41.917225,-88.266269,http://www.grandslamcllc.com/environmental-remediation-services-chicago/
294,Thermal Energy ,Energy Systems/Management,Professional Services,Great Lakes Geothermal,"1151 Atlantic Dr Suite 4, West Chicago, IL 60185",West Chicago,41.903906,-88.21637,http://greatlakesgeothermal.com/
295,Oil and Gas,,,"GreatPoint Energy, Inc.","2215 W Harrison St, Chicago, IL 60612",Chicago,41.873656,-87.682015,http://www.greatpointenergy.com/
296,Energy Efficiency,Professional Services,,"Green Attic Insulation, Inc.","409 W Algonquin Rd, Mt. Prospect, IL 60056",Mt. Prospect,42.029491,-87.942658,https://greenatticinsulation.com/
297,Consulting,Energy Efficiency,Professional Services,Green Dream Group,"5756 N Ridge Ave Suite 1, Chicago, IL 60660",Chicago,41.986494,-87.665164,http://www.greendreamgroup.com/
298,Consulting,Energy Systems/Management,Professional Services,"Green Energy International, LLC","1124 Langley Cir, Naperville, IL 60563, US",Naperville,41.790214,-88.194921,https://greenenergyinternational.org/
299,Solar,Wind,Energy Efficiency,Green Power Works Inc.,"6124 N Milwaukee Ave Suite 3, Chicago, IL 60646",Chicago,41.992744,-87.783959,https://greenpowerworksinc.com/
300,Law,Oil and Gas,,"Greenberg Traurig, LLP","77 W Wacker Dr Suite 3100, Chicago, IL 60601",Chicago,41.886423,-87.630748,https://www.gtlaw.com/en
301,Oil and Gas,Professional Services,,"GreenChem Petroleum, Inc.","2150 W 43rd St, Chicago, IL 60609",Chicago,41.815859,-87.679084,https://www.greenchempetroleum.com/
302,Construction,Energy Efficiency,Professional Services,"Greenline Homes, LLC","6625 S Ingleside Ave, Chicago, IL 60637",Chicago,41.774188,-87.601845,https://www.greenlinehomes.com/
303,Solar,Professional Services,,GRNE Solar,"230 N Hicks Pl, Palatine, IL 60067",Palatine,42.114506,-88.034907,https://www.grnesolar.com/
304,Circular Economy,,,Groot ,"1565 Aurora Ave Ln, Aurora, IL 60505",Aurora,41.78891,-88.310382,https://www.groot.com/
305,Circular Economy,,,Growing Home,"825 W 69th Floor 2, Chicago, IL 60621",Chicago,41.768577,-87.645571,http://growinghomeinc.org/
306,Architecture/Design,Energy Efficiency,Consulting,Grumman/Butkus Associates,"820 Davis St, Evanston, IL 60201",Evanston,42.046679,-87.682922,http://grummanbutkus.com/
307,Academia/Research,Consulting,Professional Services,GTI,"1700 S Mount Prospect Rd, Des Plaines, IL  60018",Des Plaines,42.019741,-87.922034,https://www.gti.energy/
308,Consulting,Utility/Grid,Finance,Guidehouse,"150 N Riverside Plz Suite 2100, Chicago, IL 60606",Chicago,41.885369,-87.638534,https://guidehouse.com/capabilities/industries/energy
